,label,area,centroid-0,centroid-1,centroid-2,axis_major_length,doughnut_area,GFP_intensity_sum
0,1,177.0,2.1412429378531073,4.666666666666667,244.4632768361582,9.635095775852779,199.0,5359869
1,2,453.0,2.6070640176600444,15.905077262693156,392.8211920529801,13.19544522221111,383.0,5657534
2,3,678.0,1.8775811209439528,22.00589970501475,223.12684365781712,15.765535855761273,419.0,9437274
3,4,962.0,3.7484407484407485,40.485446985446984,182.54158004158003,17.332295451207187,642.0,11396581
4,5,749.0,2.205607476635514,51.0347129506008,214.73297730307075,19.951817658977777,524.0,13346945
5,6,173.0,1.930635838150289,49.578034682080926,182.23699421965318,10.096946063541854,165.0,2522082
6,7,1475.0,5.442033898305085,51.66169491525424,392.7620338983051,18.47815178311274,882.0,22138964
7,8,366.0,1.1967213114754098,56.669398907103826,443.155737704918,17.194060972618406,293.0,816109
8,9,387.0,2.0258397932816536,78.36692506459949,229.31266149870802,16.892453266239464,235.0,6300253
9,10,97.0,1.0824742268041236,82.6082474226804,94.54639175257732,9.026892533975746,119.0,1615454
10,11,752.0,1.5066489361702127,89.09574468085107,241.32978723404256,20.623627463702768,437.0,6557505
11,12,909.0,4.676567656765677,85.11551155115511,114.59845984598459,16.918686139539343,567.0,9818958
12,13,1813.0,6.103143960286817,76.67677881963596,281.0,19.888834216384254,1083.0,24767848
13,14,156.0,1.3846153846153846,91.58974358974359,508.4423076923077,9.097413552556919,144.0,499724
14,15,223.0,1.4260089686098654,97.17937219730942,178.84304932735427,13.221623331608955,190.0,4280148
15,16,990.0,3.1858585858585857,98.93131313131313,148.55555555555554,19.415354030635214,496.0,8740324
16,17,472.0,0.9745762711864406,109.35169491525424,397.239406779661,17.52615423978148,279.0,1439794
17,18,1505.0,2.6843853820598005,108.89435215946844,110.44518272425249,27.976731462788425,684.0,11749177
18,19,366.0,4.060109289617486,105.7103825136612,176.87431693989072,12.023249629834641,351.0,8488002
19,20,437.0,1.5446224256292906,113.93592677345538,224.64073226544622,14.579204557359208,306.0,7171799
20,21,388.0,1.3556701030927836,122.06958762886597,299.069587628866,17.42889474044423,303.0,4596682
21,22,86.0,0.27906976744186046,126.69767441860465,221.69767441860466,13.748295658761945,108.0,702230
22,23,482.0,1.5103734439834025,146.22614107883817,154.90663900414938,14.51970720390772,317.0,5543568
23,24,509.0,1.5992141453831041,150.7779960707269,138.87819253438113,14.217041720135454,354.0,6495796
24,25,945.0,1.7767195767195767,155.86666666666667,313.1005291005291,22.463527544036467,463.0,9071941
25,26,57.0,0.7368421052631579,155.4561403508772,186.64912280701753,10.73347112257478,94.0,1584121
26,27,530.0,1.8981132075471698,157.20188679245283,301.42075471698115,13.932230003474617,229.0,4951455
27,28,543.0,5.014732965009208,162.69797421731124,305.1325966850829,14.135719209654825,296.0,6205046
28,29,53.0,1.0188679245283019,160.54716981132074,233.47169811320754,11.133309374271349,102.0,2610615
29,30,513.0,4.076023391812866,176.31384015594543,236.9337231968811,14.453930814816886,403.0,8955598
30,31,242.0,0.43388429752066116,183.01239669421489,243.33471074380165,17.881727674445173,135.0,624400
31,32,519.0,2.934489402697495,185.85549132947978,144.76107899807323,13.936258159392343,396.0,6101117
32,33,1281.0,4.3676814988290396,195.92974238875877,221.10850897736142,19.015456320664082,727.0,15889561
33,34,609.0,1.8669950738916257,201.43349753694582,34.93431855500821,20.443073207199813,460.0,1283894
34,35,1042.0,3.6381957773512474,201.7476007677543,153.34452975047984,15.892286289805687,603.0,9502783
35,36,425.0,2.9576470588235293,199.53176470588235,190.2941176470588,12.623022350804465,360.0,8621979
36,37,147.0,1.435374149659864,204.0952380952381,144.20408163265307,9.928965569272762,144.0,2209148
37,38,765.0,2.2,217.2941176470588,221.2941176470588,15.825921757367835,412.0,9685880
38,39,30.0,1.0666666666666667,211.4,185.73333333333332,7.993335896823098,52.0,1482276
39,40,460.0,4.271739130434782,214.56739130434784,184.6478260869565,14.308068603247426,444.0,10732199
40,41,561.0,4.2745098039215685,218.33155080213905,231.5614973262032,15.112381767540876,326.0,7715625
41,42,367.0,2.1634877384196187,220.69482288828337,310.3978201634877,13.755685769733255,287.0,4655513
42,43,692.0,2.7153179190751446,220.96242774566474,285.40606936416185,16.049014611612108,446.0,8338399
43,44,751.0,3.640479360852197,223.4167776298269,258.76564580559256,14.676663027106908,561.0,9198783
44,45,1407.0,5.678038379530917,226.66027007818053,162.8592750533049,18.286395815354876,922.0,19421908
45,46,184.0,0.5217391304347826,241.3641304347826,251.07065217391303,19.32040440791026,165.0,627281
46,47,366.0,1.7240437158469946,248.46448087431693,145.04371584699453,17.616207208976892,306.0,6074001
47,48,248.0,0.5685483870967742,256.0483870967742,200.9959677419355,15.955225576263217,177.0,1804837
48,49,675.0,2.3333333333333335,259.05185185185184,218.85333333333332,15.653229027470958,397.0,10618211
49,50,380.0,3.057894736842105,258.18947368421055,254.90263157894736,13.577208135243138,358.0,7782181
50,51,1476.0,3.7296747967479673,268.8231707317073,392.62262872628725,26.8365713447985,835.0,15745586
51,52,487.0,3.264887063655031,258.6324435318275,388.54620123203284,15.393699150943654,346.0,6644224
52,53,1043.0,3.6529242569511027,267.90220517737293,351.76701821668263,15.287907847617491,698.0,18136797
53,54,249.0,2.244979919678715,266.69879518072287,311.6144578313253,10.950128827516652,280.0,5532152
54,55,384.0,1.4609375,269.8177083333333,409.4635416666667,13.0094566523784,281.0,3188611
55,56,654.0,2.688073394495413,284.63149847094803,63.00152905198777,19.809675002931968,503.0,11386240
56,57,790.0,2.0468354430379745,283.7974683544304,114.46075949367089,22.522667504754697,480.0,9166723
57,58,178.0,0.5056179775280899,289.8707865168539,260.17977528089887,13.894046761211436,155.0,474302
58,59,751.0,5.027962716378163,286.1464713715047,133.65512649800266,15.064704781093004,466.0,11074284
59,60,278.0,1.7410071942446044,291.44604316546764,137.73021582733813,12.372438385519175,226.0,4822154
60,61,1309.0,2.3139801375095495,312.916730328495,231.4446142093201,22.576853036082184,610.0,15330991
61,62,452.0,1.741150442477876,334.92699115044246,168.58849557522123,15.821364518193745,356.0,8951360
