,label,area,centroid-0,centroid-1,centroid-2,axis_major_length,doughnut_area,GFP_intensity_sum
0,1,31.0,0.12903225806451613,2.7419354838709675,372.3225806451613,7.053473234746151,58.0,131159
1,2,322.0,0.4906832298136646,25.46273291925466,336.5993788819876,18.275702698693916,192.0,477382
2,3,216.0,0.5138888888888888,63.699074074074076,332.38425925925924,14.211457194040023,158.0,273191
3,4,622.0,0.4983922829581994,81.87620578778134,419.2041800643087,29.74982423731382,278.0,763055
4,5,172.0,0.45348837209302323,88.21511627906976,264.30232558139534,14.802262509057448,157.0,751288
5,6,215.0,0.6139534883720931,90.47441860465116,316.0,13.27214726136645,201.0,873191
6,7,252.0,0.9722222222222222,116.28571428571429,345.1547619047619,12.465279092925133,159.0,267245
7,8,353.0,0.9490084985835694,125.90934844192634,341.36543909348444,15.40482696886243,197.0,439696
8,9,787.0,1.477763659466328,147.20711562897077,334.66963151207113,19.85496610345505,404.0,942314
9,10,661.0,0.9652042360060514,178.90771558245083,298.5143721633888,22.100754752084875,328.0,673139
10,11,120.0,0.39166666666666666,210.99166666666667,322.19166666666666,13.321827988816331,131.0,299338
11,12,96.0,0.5104166666666666,218.76041666666666,235.95833333333334,9.305651783370491,112.0,478428
12,13,668.0,1.0029940119760479,239.2754491017964,333.67814371257487,20.66198810454247,317.0,638330
13,14,288.0,0.8298611111111112,255.89930555555554,408.0208333333333,14.663332803687037,224.0,995189
14,15,298.0,0.4697986577181208,270.9295302013423,320.3288590604027,16.627398414839444,176.0,938551
15,16,18.0,0.0,282.22222222222223,218.05555555555554,12.675776427626944,34.0,61058
16,17,510.0,0.9745098039215686,285.3764705882353,288.58235294117645,18.190861546489216,287.0,996187
17,18,274.0,0.4562043795620438,296.1058394160584,214.14598540145985,26.32888979238573,202.0,374179
18,19,312.0,0.8878205128205128,306.6057692307692,364.41987179487177,17.548219113273472,238.0,772104
19,20,792.0,0.9936868686868687,316.7613636363636,330.9936868686869,36.125539560937064,436.0,842918
20,21,453.0,1.565121412803532,319.6843267108168,306.439293598234,17.345091991878242,342.0,889589
21,22,514.0,1.0019455252918288,357.8093385214008,270.90077821011675,20.741665214332677,277.0,1115191
22,23,289.0,0.5155709342560554,362.3529411764706,290.57439446366783,21.673153255131982,196.0,388234
23,24,439.0,0.7289293849658315,385.35535307517085,305.6400911161731,20.704978032856605,287.0,1180365
24,25,313.0,0.645367412140575,393.0447284345048,273.54313099041536,19.349014006595358,254.0,850481
25,26,226.0,1.8097345132743363,435.3495575221239,355.8185840707965,19.434960516454954,266.0,627542
26,27,308.0,0.961038961038961,449.4902597402597,248.11363636363637,18.453404831182894,246.0,663006
27,28,255.0,0.4980392156862745,489.15686274509807,262.2196078431373,23.18855725049786,201.0,967388
28,29,719.0,3.8275382475660638,47.80945757997218,395.07093184979135,18.05991537725561,494.0,13382212
29,30,538.0,3.382899628252788,245.1728624535316,289.8252788104089,17.100771038948164,370.0,1652690
30,31,294.0,1.554421768707483,375.2312925170068,168.02721088435374,28.480667755879566,247.0,472447
31,32,422.0,2.6066350710900474,451.5521327014218,141.03080568720378,16.282486319454804,317.0,715457
32,33,157.0,2.515923566878981,4.777070063694268,450.38853503184714,13.286722001705739,119.0,101334
33,34,91.0,2.5714285714285716,16.186813186813186,364.3296703296703,9.983497329485957,120.0,4308065
34,35,156.0,2.58974358974359,38.06410256410256,308.0769230769231,12.762421914273403,135.0,6379888
35,36,203.0,2.5714285714285716,42.32512315270936,239.92610837438423,15.842537929457412,174.0,9320648
36,37,141.0,2.5886524822695036,54.723404255319146,404.5177304964539,11.586186315584476,130.0,5612899
37,38,149.0,2.51006711409396,58.38255033557047,239.79194630872485,13.60145225526655,138.0,7362560
38,39,62.0,3.0483870967741935,56.91935483870968,415.53225806451616,9.749332769584221,87.0,3762034
39,40,564.0,4.2677304964539005,157.23936170212767,421.7890070921986,13.53650546377367,420.0,1648335
40,41,110.0,3.3181818181818183,161.01818181818183,281.7909090909091,9.815939330588494,128.0,6580527
41,42,457.0,4.054704595185996,191.64332603938732,366.3413566739606,17.93778715219075,357.0,4372663
42,43,232.0,3.7025862068965516,207.56465517241378,293.5431034482759,15.97648164241603,224.0,6732923
43,44,76.0,2.5657894736842106,261.63157894736844,292.9078947368421,11.01216811441762,102.0,1078112
44,45,53.0,2.792452830188679,261.1698113207547,211.18867924528303,9.163365897314042,80.0,2410233
45,46,39.0,2.58974358974359,262.64102564102564,195.51282051282053,6.663549590296799,81.0,2321426
46,47,639.0,4.215962441314554,344.40688575899844,271.7699530516432,20.256169123031466,416.0,8183989
47,48,274.0,4.317518248175182,437.56569343065695,338.24817518248176,17.79653107551217,318.0,17082822
48,49,62.0,2.774193548387097,453.241935483871,329.5806451612903,7.78458238604368,102.0,4539505
49,50,251.0,3.8924302788844622,7.824701195219124,378.1394422310757,15.437529321465641,267.0,5703435
50,51,293.0,3.4982935153583616,27.156996587030715,357.2150170648464,16.982370902102883,181.0,8315986
51,52,567.0,4.2522045855379185,74.68430335097001,248.4426807760141,24.07280784545868,377.0,12421233
52,53,1095.0,4.728767123287671,76.7552511415525,292.0794520547945,21.95142878500428,525.0,5648132
53,54,149.0,3.51006711409396,84.14093959731544,312.1275167785235,12.14088222168152,129.0,6776543
54,55,301.0,4.1694352159468435,89.16279069767442,367.69102990033224,13.894682530414695,278.0,6121409
55,56,229.0,3.506550218340611,126.40174672489083,249.80349344978166,16.536075623122517,162.0,5810195
56,57,185.0,3.4864864864864864,143.42162162162163,260.0810810810811,12.5679331611886,155.0,6443521
57,58,236.0,3.5677966101694913,201.92372881355934,346.364406779661,17.946112712086855,189.0,3507200
58,59,258.0,3.5232558139534884,216.34496124031008,307.6007751937984,22.23847242940051,207.0,3690618
59,60,22.0,3.1818181818181817,220.95454545454547,266.54545454545456,6.857013630774651,62.0,2680373
60,61,233.0,3.6824034334763946,253.42489270386267,386.274678111588,13.837850827613147,186.0,2914561
61,62,168.0,3.5238095238095237,257.4166666666667,322.04761904761904,13.789644219364423,158.0,1727645
62,63,336.0,3.931547619047619,260.5327380952381,247.80357142857142,18.540175514267798,270.0,9951647
63,64,52.0,3.076923076923077,265.0192307692308,228.51923076923077,8.92612583856618,75.0,3257317
64,65,453.0,4.856512141280353,339.0507726269316,192.57174392935983,17.11621447605949,354.0,6475498
65,66,229.0,4.620087336244541,415.69868995633186,249.22270742358077,12.96053655983429,258.0,14196640
66,67,802.0,4.946384039900249,422.10598503740647,230.57980049875312,18.960505528133982,527.0,7851693
67,68,100.0,3.07,421.29,286.71,14.414178726148336,127.0,490733
68,69,54.0,3.8333333333333335,431.7037037037037,307.35185185185185,7.371432390930016,99.0,4537133
69,70,415.0,4.291566265060241,474.89156626506025,146.1277108433735,22.808746927163273,352.0,572811
70,71,25.0,3.0,508.8,270.36,8.673522570883856,38.0,1772792
71,72,729.0,4.834019204389575,38.6639231824417,278.41975308641975,24.006256730198768,359.0,6338745
72,73,305.0,5.101639344262295,59.485245901639345,342.64262295081966,15.444427102212398,236.0,3800687
73,74,174.0,4.574712643678161,66.89655172413794,404.4367816091954,12.470874067706758,163.0,7522406
74,75,444.0,4.488738738738738,124.96171171171171,281.3288288288288,23.09750629999461,222.0,3662594
75,76,25.0,4.08,135.0,361.6,6.203195090531625,56.0,2001084
76,77,1418.0,7.811706629055007,132.04795486600847,259.88434414668546,31.472222870301316,791.0,5859117
77,78,141.0,5.609929078014185,139.9290780141844,187.92198581560282,10.003503655227918,148.0,6211174
78,79,961.0,10.429760665972944,143.48803329864725,184.3621227887617,20.74172874898921,718.0,14185168
79,80,20.0,4.0,144.95,220.45,9.057572772064974,42.0,2006507
80,81,801.0,7.421972534332085,146.72159800249688,438.1785268414482,18.7482495054118,523.0,466794
81,82,112.0,4.544642857142857,159.75,271.4732142857143,14.162808218698505,118.0,5056062
82,83,113.0,4.336283185840708,172.1150442477876,270.53982300884957,11.922309674279967,123.0,5715987
83,84,635.0,5.048818897637795,216.17952755905512,386.0425196850394,18.99040885723897,356.0,12203465
84,85,248.0,4.790322580645161,224.2540322580645,324.9233870967742,15.266020329136978,208.0,2147543
85,86,122.0,4.39344262295082,231.59016393442624,247.04918032786884,13.560193645546963,136.0,5944412
86,87,459.0,4.79520697167756,236.5751633986928,207.6013071895425,20.039127196504534,272.0,12574779
87,88,843.0,6.365361803084223,240.2182680901542,377.7425860023725,19.442715977130657,494.0,3474351
88,89,33.0,4.666666666666667,243.24242424242425,246.24242424242425,6.353353913538513,69.0,2375056
89,90,120.0,4.433333333333334,250.01666666666668,234.35833333333332,10.9867363750523,118.0,4543256
90,91,480.0,5.583333333333333,252.04791666666668,359.41875,15.286065459680025,338.0,9634995
91,92,244.0,5.381147540983607,259.2581967213115,381.7827868852459,15.597663239767241,203.0,3202749
92,93,338.0,5.390532544378698,265.4674556213018,164.1301775147929,14.43191370931397,294.0,13314486
93,94,196.0,5.127551020408164,276.8520408163265,339.80102040816325,13.408134010665247,217.0,7324513
94,95,68.0,4.352941176470588,282.6029411764706,167.7941176470588,9.196887388702104,100.0,5313715
95,96,544.0,5.148897058823529,291.9117647058824,274.8327205882353,20.107262087526752,303.0,3740620
96,97,75.0,4.88,286.81333333333333,293.82666666666665,11.326174571834157,139.0,7044431
97,98,47.0,4.0638297872340425,310.70212765957444,229.89361702127658,10.108335275106677,70.0,2267379
98,99,57.0,4.0701754385964914,330.9824561403509,222.4561403508772,11.413028881976501,80.0,2634551
99,100,127.0,5.0,336.26771653543307,210.251968503937,11.00254647320118,170.0,3580885
100,101,57.0,5.017543859649122,340.3157894736842,314.4736842105263,12.209450397206412,89.0,4135022
101,102,346.0,6.367052023121388,338.65606936416185,298.42774566473986,16.56125347863382,336.0,16560589
102,103,59.0,4.694915254237288,355.79661016949154,207.22033898305085,8.467254396358314,115.0,3713964
103,104,153.0,4.594771241830065,366.83006535947715,199.72549019607843,11.87015131559936,151.0,6505975
104,105,106.0,4.764150943396227,406.66037735849056,159.39622641509433,9.843964899964211,150.0,7441077
105,106,43.0,4.023255813953488,409.8837209302326,261.95348837209303,8.472921010020679,52.0,2350388
106,107,552.0,5.061594202898551,418.7735507246377,386.838768115942,27.16826223873681,393.0,766417
107,108,363.0,5.1735537190082646,420.2754820936639,201.1625344352617,15.726328977955646,274.0,12778687
108,109,83.0,4.433734939759036,470.9277108433735,287.27710843373495,9.584935599424544,100.0,3454027
109,110,99.0,4.393939393939394,486.8484848484849,233.1010101010101,11.198589512313296,130.0,6127408
110,111,50.0,4.06,487.52,256.32,9.089298505195982,68.0,3500973
111,112,160.0,4.49375,500.55625,194.86875,11.855538664404195,148.0,5231930
112,113,405.0,5.476543209876543,499.0543209876543,218.11851851851853,15.10118524904944,305.0,12965631
113,114,197.0,5.096446700507614,507.75126903553297,239.55329949238578,11.375681549761632,159.0,6236623
114,115,40.0,4.625,508.9,209.25,6.297090737048225,77.0,3678811
115,116,58.0,4.689655172413793,509.2758620689655,321.0344827586207,8.02097530826102,78.0,4428900
116,117,589.0,6.203735144312394,11.740237691001697,302.509337860781,19.669814683048713,361.0,2267411
117,118,210.0,6.066666666666666,34.24761904761905,204.6095238095238,11.671163354976825,210.0,2864542
118,119,711.0,7.305203938115331,41.59915611814346,373.80872011251756,19.13093874974418,476.0,2549865
119,120,403.0,5.9826302729528535,64.36724565756823,318.20843672456573,16.413408788594925,249.0,1410230
